log_time,steering_angle_enable,steering_angle,target_acceleration_enable,target_acceleration,indicator_left_enable,indicator_left,indicator_right_enable,indicator_right,gear_position_enable,gear_position,ebrake_status_enable,ebrake_status,lane_change,timestamp,mqtt_send_timestamp
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154268
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154278
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154288
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154298
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154308
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154318
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154328
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154338
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154348
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154358
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154368
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154378
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154388
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154398
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154408
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154418
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154428
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154438
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154448
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154458
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154468
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154478
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154488
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154498
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154508
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154518
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154528
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154538
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154548
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154558
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154568
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154578
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154588
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154598
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154608
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154618
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154628
